gate_id,product,metric,lookback,mode,observations,active_rate,first_active_date,status
IF_lagged_oi_change_lb5_avoid_high_q0.2_0.8,IF,lagged_oi_change,5,avoid_high,580,0.7913793103448276,20100722,resolved
IF_lagged_oi_change_lb5_avoid_extremes_q0.2_0.8,IF,lagged_oi_change,5,avoid_extremes,580,0.5879310344827586,20100722,resolved
IF_lagged_oi_change_lb20_avoid_high_q0.2_0.8,IF,lagged_oi_change,20,avoid_high,580,0.7913793103448276,20100812,resolved
IF_lagged_oi_change_lb20_avoid_extremes_q0.2_0.8,IF,lagged_oi_change,20,avoid_extremes,580,0.5896551724137931,20100813,resolved
IF_volume_oi_lb5_avoid_high_q0.2_0.8,IF,volume_oi,5,avoid_high,580,0.8948275862068965,20100715,resolved
IF_volume_oi_lb5_avoid_extremes_q0.2_0.8,IF,volume_oi,5,avoid_extremes,580,0.4603448275862069,20100715,resolved
IF_volume_oi_lb20_avoid_high_q0.2_0.8,IF,volume_oi,20,avoid_high,580,0.8948275862068965,20100715,resolved
IF_volume_oi_lb20_avoid_extremes_q0.2_0.8,IF,volume_oi,20,avoid_extremes,580,0.4603448275862069,20100715,resolved
IF_oi_concentration_lb5_avoid_high_q0.2_0.8,IF,oi_concentration,5,avoid_high,580,0.6879310344827586,20100715,resolved
IF_oi_concentration_lb5_avoid_extremes_q0.2_0.8,IF,oi_concentration,5,avoid_extremes,580,0.4827586206896552,20100715,resolved
IF_oi_concentration_lb20_avoid_high_q0.2_0.8,IF,oi_concentration,20,avoid_high,580,0.6879310344827586,20100715,resolved
IF_oi_concentration_lb20_avoid_extremes_q0.2_0.8,IF,oi_concentration,20,avoid_extremes,580,0.4827586206896552,20100715,resolved
IH_lagged_oi_change_lb5_avoid_high_q0.2_0.8,IH,lagged_oi_change,5,avoid_high,0,0.0,,product_absent
IH_lagged_oi_change_lb5_avoid_extremes_q0.2_0.8,IH,lagged_oi_change,5,avoid_extremes,0,0.0,,product_absent
IH_lagged_oi_change_lb20_avoid_high_q0.2_0.8,IH,lagged_oi_change,20,avoid_high,0,0.0,,product_absent
IH_lagged_oi_change_lb20_avoid_extremes_q0.2_0.8,IH,lagged_oi_change,20,avoid_extremes,0,0.0,,product_absent
IH_volume_oi_lb5_avoid_high_q0.2_0.8,IH,volume_oi,5,avoid_high,0,0.0,,product_absent
IH_volume_oi_lb5_avoid_extremes_q0.2_0.8,IH,volume_oi,5,avoid_extremes,0,0.0,,product_absent
IH_volume_oi_lb20_avoid_high_q0.2_0.8,IH,volume_oi,20,avoid_high,0,0.0,,product_absent
IH_volume_oi_lb20_avoid_extremes_q0.2_0.8,IH,volume_oi,20,avoid_extremes,0,0.0,,product_absent
IH_oi_concentration_lb5_avoid_high_q0.2_0.8,IH,oi_concentration,5,avoid_high,0,0.0,,product_absent
IH_oi_concentration_lb5_avoid_extremes_q0.2_0.8,IH,oi_concentration,5,avoid_extremes,0,0.0,,product_absent
IH_oi_concentration_lb20_avoid_high_q0.2_0.8,IH,oi_concentration,20,avoid_high,0,0.0,,product_absent
IH_oi_concentration_lb20_avoid_extremes_q0.2_0.8,IH,oi_concentration,20,avoid_extremes,0,0.0,,product_absent
IC_lagged_oi_change_lb5_avoid_high_q0.2_0.8,IC,lagged_oi_change,5,avoid_high,0,0.0,,product_absent
IC_lagged_oi_change_lb5_avoid_extremes_q0.2_0.8,IC,lagged_oi_change,5,avoid_extremes,0,0.0,,product_absent
IC_lagged_oi_change_lb20_avoid_high_q0.2_0.8,IC,lagged_oi_change,20,avoid_high,0,0.0,,product_absent
IC_lagged_oi_change_lb20_avoid_extremes_q0.2_0.8,IC,lagged_oi_change,20,avoid_extremes,0,0.0,,product_absent
IC_volume_oi_lb5_avoid_high_q0.2_0.8,IC,volume_oi,5,avoid_high,0,0.0,,product_absent
IC_volume_oi_lb5_avoid_extremes_q0.2_0.8,IC,volume_oi,5,avoid_extremes,0,0.0,,product_absent
IC_volume_oi_lb20_avoid_high_q0.2_0.8,IC,volume_oi,20,avoid_high,0,0.0,,product_absent
IC_volume_oi_lb20_avoid_extremes_q0.2_0.8,IC,volume_oi,20,avoid_extremes,0,0.0,,product_absent
IC_oi_concentration_lb5_avoid_high_q0.2_0.8,IC,oi_concentration,5,avoid_high,0,0.0,,product_absent
IC_oi_concentration_lb5_avoid_extremes_q0.2_0.8,IC,oi_concentration,5,avoid_extremes,0,0.0,,product_absent
IC_oi_concentration_lb20_avoid_high_q0.2_0.8,IC,oi_concentration,20,avoid_high,0,0.0,,product_absent
IC_oi_concentration_lb20_avoid_extremes_q0.2_0.8,IC,oi_concentration,20,avoid_extremes,0,0.0,,product_absent
IM_lagged_oi_change_lb5_avoid_high_q0.2_0.8,IM,lagged_oi_change,5,avoid_high,0,0.0,,product_absent
IM_lagged_oi_change_lb5_avoid_extremes_q0.2_0.8,IM,lagged_oi_change,5,avoid_extremes,0,0.0,,product_absent
IM_lagged_oi_change_lb20_avoid_high_q0.2_0.8,IM,lagged_oi_change,20,avoid_high,0,0.0,,product_absent
IM_lagged_oi_change_lb20_avoid_extremes_q0.2_0.8,IM,lagged_oi_change,20,avoid_extremes,0,0.0,,product_absent
IM_volume_oi_lb5_avoid_high_q0.2_0.8,IM,volume_oi,5,avoid_high,0,0.0,,product_absent
IM_volume_oi_lb5_avoid_extremes_q0.2_0.8,IM,volume_oi,5,avoid_extremes,0,0.0,,product_absent
IM_volume_oi_lb20_avoid_high_q0.2_0.8,IM,volume_oi,20,avoid_high,0,0.0,,product_absent
IM_volume_oi_lb20_avoid_extremes_q0.2_0.8,IM,volume_oi,20,avoid_extremes,0,0.0,,product_absent
IM_oi_concentration_lb5_avoid_high_q0.2_0.8,IM,oi_concentration,5,avoid_high,0,0.0,,product_absent
IM_oi_concentration_lb5_avoid_extremes_q0.2_0.8,IM,oi_concentration,5,avoid_extremes,0,0.0,,product_absent
IM_oi_concentration_lb20_avoid_high_q0.2_0.8,IM,oi_concentration,20,avoid_high,0,0.0,,product_absent
IM_oi_concentration_lb20_avoid_extremes_q0.2_0.8,IM,oi_concentration,20,avoid_extremes,0,0.0,,product_absent
